id,name,ovr,rarity,image_url
1,"Shukaku (One-Tail)",82,SILVER RARE,"/images/1 shukaku.png"
2,"Ten-Tails (Jubi)",99,GOLD RARE,"/images/10 jubi.png"
3,"Matatabi (Two-Tails)",83,SILVER RARE,"/images/2 matatabi.png"
4,"Isobu (Three-Tails)",83,SILVER RARE,"/images/3 isobu.png"
5,"Son Goku (Four-Tails)",84,SILVER RARE,"/images/4 son goku.png"
6,"Kokuo (Five-Tails)",84,SILVER RARE,"/images/5 kokuo.png"
7,"Saiken (Six-Tails)",84,SILVER RARE,"/images/6 saiken.png"
8,"Chomei (Seven-Tails)",85,SILVER RARE,"/images/7 chomei.png"
9,"Gyuki (Eight-Tails)",90,GOLD RARE,"/images/8 gyuki.png"
10,"Kurama (Nine-Tails)",94,GOLD RARE,"/images/9 kurama.png"
11,"Akatsuchi",78,BRONZE,"/images/akatsuchi_by_masonengine_dck74fz.png"
12,"Anko Mitarashi",77,BRONZE,"/images/anko.png"
13,"Ao",78,BRONZE,"/images/ao_by_masonengine_dctlrn7.png"
14,"Asuma Sarutobi",84,SILVER RARE,"/images/asuma (2).png"
15,"Boro",75,BRONZE,"/images/boro_by_masonengine_dgaktra.png"
16,"Boruto",75,BRONZE,"/images/boruto_by_masonengine_dgiieib.png"
17,"Boruto Karma",75,BRONZE,"/images/boruto__karma__by_masonengine_dg82x33.png"
18,"Boruto Naruto Next Generation Kagura Karatachi",75,BRONZE,"/images/boruto__naruto_next_generation_kagura_karatachi_by_iennidesign_dboybcc.png"
19,"Boruto Naruto Next Generation Sumire Genin",75,BRONZE,"/images/boruto__naruto_next_generation_sumire__genin__by_iennidesign_dby4bfk.png"
20,"Boruto The Next Generation Araya",75,BRONZE,"/images/boruto__the_next_generation_araya_by_iennidesign_d9yvvtd.png"
21,"Boruto The Next Generation Chouchou Akimichi",75,BRONZE,"/images/boruto__the_next_generation_chouchou_akimichi_by_iennidesign_d9u9vif.png"
22,"Boruto The Next Generation Inojin Yamanaka",75,BRONZE,"/images/boruto__the_next_generation_inojin_yamanaka_by_iennidesign_d9r99iy.png"
23,"Boruto The Next Generation Shikadai Nara",75,BRONZE,"/images/boruto__the_next_generation_shikadai_nara_by_iennidesign_d9sg03s.png"
24,"Boruto The Next Generation Shinki",75,BRONZE,"/images/boruto__the_next_generation_shinki_by_iennidesign_d9t5gmx.png"
25,"Boruto The Next Generation Yodo",75,BRONZE,"/images/boruto__the_next_generation_yodo_by_iennidesign_d9ska39.png"
26,"Cee",76,BRONZE,"/images/cee_by_masonengine_dck1sap.png"
27,"Lady Chiyo",85,SILVER RARE,"/images/chiyo_by_masonengine_dcf47mc.png"
28,"Choji (1)",75,BRONZE,"/images/choji (1).png"
29,"Choji Akimichi (Butterfly Mode)",85,SILVER RARE,"/images/choji (2).png"
30,"Choji Akimichi (Part 1)",66,BRONZE,"/images/choji (3).png"
31,"Chojuro (6th Mizukage)",85,SILVER RARE,"/images/chojuro_by_masonengine_dctotwa.png"
32,"Danzo Shimura",88,SILVER RARE,"/images/danzo.png"
33,"Darui (Black Lightning)",87,SILVER RARE,"/images/darui__awakening_mode__by_masonengine_d9py9au.png"
34,"Deidara",87,SILVER RARE,"/images/deidara_by_masonengine_d9cpgx1.png"
35,"Deidara Reanimation",75,BRONZE,"/images/deidara__reanimation__by_masonengine_dc49b42.png"
36,"Delta",75,BRONZE,"/images/delta_by_masonengine_dgnr4y5.png"
37,"Foo Yamanaka",77,BRONZE,"/images/foo.png"
38,"Fuu (Seven-Tails Jinchuriki)",86,SILVER RARE,"/images/fuu_by_masonengine_dc8rtcz.png"
39,"Fuu Reanimation",75,BRONZE,"/images/fuu__reanimation__by_masonengine_dc8rtff.png"
40,"Gaara (Great War Kazekage)",90,GOLD RARE,"/images/gaara__great_war_ninja__by_masonengine_d83yaci.png"
41,"Gaara (5th Kazekage)",88,SILVER RARE,"/images/gaara__kage_summit__by_masonengine_d8lx0mb.png"
42,"Gaara (Part 1)",76,BRONZE,"/images/gaara__part_1___second_suit__by_masonengine_d977sxm.png"
43,"Might Guy (Base)",88,SILVER RARE,"/images/guy (1).png"
44,"Might Guy (8 Gates)",98,GOLD RARE,"/images/guy (2).png"
45,"Haku",75,BRONZE,"/images/haku_by_masonengine_d8htn3u.png"
46,"Haku (Reanimation)",78,BRONZE,"/images/haku__reanimation__by_masonengine_daock82.png"
47,"Hanzo of the Salamander",89,GOLD RARE,"/images/hanzo__alive__by_masonengine_dbfnkol.png"
48,"Hanzo (Reanimation)",88,SILVER RARE,"/images/hanzo__reanimation__by_masonengine_dbfnkdb.png"
49,"Han (Five-Tails Jinchuriki)",86,SILVER RARE,"/images/han_by_masonengine_dc8933q.png"
50,"Han Reanimation",75,BRONZE,"/images/han__reanimation__by_masonengine_dc893ek.png"
51,"Hashirama Senju (Sage Mode)",97,GOLD RARE,"/images/hashirama (3).png"
52,"Hashirama (4)",75,BRONZE,"/images/hashirama (4).png"
53,"Hidan",85,SILVER RARE,"/images/hidan_by_masonengine_d99szqx.png"
54,"Hinata (1)",75,BRONZE,"/images/hinata (1).png"
55,"Hinata Hyuga (Twin Lion)",82,SILVER RARE,"/images/hinata (2).png"
56,"Hinata Hyuga (Part 1)",64,BRONZE,"/images/hinata (3).png"
57,"Hiruzen Sarutobi (3rd Hokage)",91,GOLD RARE,"/images/hiruzen (1).png"
58,"Hiruzen (2)",75,BRONZE,"/images/hiruzen (2).png"
59,"Ino (1)",75,BRONZE,"/images/ino (1).png"
60,"Ino Yamanaka (Part 1)",63,BRONZE,"/images/ino (2).png"
61,"Ino Yamanaka (Shippuden)",75,BRONZE,"/images/ino (3).png"
62,"Itachi Uchiha (Anbu/Akatsuki)",94,GOLD RARE,"/images/itachi_by_masonengine_d88z9zy.png"
63,"Itachi Reanimation",75,BRONZE,"/images/itachi__reanimation__by_masonengine_d96b7jt.png"
64,"Jigen",75,BRONZE,"/images/jigen_by_masonengine_dhcaxd3.png"
65,"Jiraiya (Sage Mode)",93,GOLD RARE,"/images/jiraiya (1).png"
66,"Jirobo",72,BRONZE,"/images/jirobo_by_masonengine_dcimbkz.png"
67,"Jugo (Curse Mark)",80,SILVER RARE,"/images/jugo_by_masonengine_d882e00.png"
68,"Kabuto Yakushi (Part 1)",79,BRONZE,"/images/kabuto_by_masonengine_d7t1mey.png"
69,"Kabuto Yakushi (Sage Mode)",95,GOLD RARE,"/images/kabuto__sage_mode__by_masonengine_d80t45t.png"
